Dataset,Fragments,Count,Proportion,AMW,NumCarbons,NumOxygens,NumNitrogens,NumHeavyAtoms,CSP3,FractionOfChiralCarbons,NumAliphaticRings,NumAromaticRings,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumHeterocycles,NumRings,NumSpiroAtoms,NumBridgeheadAtoms
FooDB,*C(*)=O,52,1.632,27.99491462,1,1,0,2,0.0,0.0,0,0,0,0,0,0,0,0
FooDB,*CC(*)CO[PH](=O)(=O)OC1C(O)C(O)C(O[PH](=O)(=O)O)C(O[PH](=O)(=O)O)C1O,52,1.632,459.99367979799985,9,15,0,27,1.0,0.7777777777777778,1,0,0,0,0,1,0,0
FooDB,*C(=O)c1ccccc1,51,1.601,105.03403978,7,1,0,8,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*C(=O)C(C)C,47,1.475,71.049689844,4,1,0,5,0.75,0.0,0,0,0,0,0,0,0,0
FooDB,*CC(*)CO[PH](=O)(=O)OC1C(O)C(O)C(O)C(O[PH](=O)(=O)O)C1O,44,1.381,380.0273492759999,9,12,0,23,1.0,0.7777777777777778,1,0,0,0,0,1,0,0
FooDB,*c1ccc(O)cc1,43,1.35,93.03403978,6,1,0,7,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*C(C)CO,39,1.224,59.049689844,3,1,0,4,1.0,0.3333333333333333,0,0,0,0,0,0,0,0
FooDB,*CC=O,37,1.161,43.018389716,2,1,0,3,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*CCC(*)=O,36,1.13,56.026214748,3,1,0,4,0.6666666666666666,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCCC,36,1.13,99.080989972,6,1,0,7,0.8333333333333334,0.0,0,0,0,0,0,0,0,0
FooDB,*CCCCCCCCC,33,1.036,127.14867560799999,9,0,0,9,1.0,0.0,0,0,0,0,0,0,0,0
FooDB,*C(CO)CO,33,1.036,75.044604464,3,2,0,5,1.0,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)C(C)CC,32,1.004,85.065339908,5,1,0,6,0.8,0.2,0,0,0,0,0,0,0,0
FooDB,*C(=O)Cc1ccccc1,32,1.004,119.049689844,8,1,0,9,0.125,0.0,0,1,0,1,0,1,0,0
FooDB,*CC(O)CCCCC,31,0.973,115.1122901,7,1,0,8,1.0,0.14285714285714285,0,0,0,0,0,0,0,0
FooDB,*C1OC(CO)C(*)C(O)C1O,30,0.942,146.0579088,6,4,0,10,1.0,0.8333333333333334,1,0,1,0,1,1,0,0
